Time,Name,Address / Platform,Region,Town
"Sunday, 10:15 AM",Recovery at Work Group,16 Main Street,Hempstead,Queens
"Sunday, 10:30 AM",Sunday Just For Today Group Lynbrook,Online1 Saperstein Plaza,Lynbrook,Queens
"Sunday, 10:30 AM",AM Group,Online130 South Central Avenue,Valley Stream,Queens
"Sunday, 10:30 AM",We Came To Believe Group,1150 East 229th Street,Bronx,Queens
"Sunday, 10:45 AM",Beginners Group,Online612 Leland Avenue,Bronx,Queens
"Sunday, 11:00 AM",Recovery Today Group,5715 61st Street,Queens,Queens
"Sunday, 11:00 AM",Even on Sunday Group,97 17 64th Road,Queens,Queens
"Sunday, 11:00 AM",Brownsville Recovery Group,318 Livonia Avenue,Brooklyn,Queens
"Sunday, 11:00 AM",Recovery From Within Group Bronx,Online715 Soundview Avenue,Bronx,Queens
"Sunday, 11:00 AM",Saturday Morning Wake Up Group Bronx,295 Saint Anns Avenue,Bronx,Queens
"Sunday, 11:30 AM",Weekend Liberty Group,224 1st Street,Englewood,Queens
"Sunday, 12:00 PM",12 O Clock Mens Group,545 East 11th Street,New York,Queens
"Sunday, 12:00 PM",Hope on Sunday Group,88 Hanson Place,Brooklyn,Queens
"Sunday, 12:15 PM",Women Learning HOW Group,49 55 Edgecombe Avenue,Manhattan,Queens
"Sunday, 1:00 PM",Regional Women In Unity Group,109 55 Guy R Brewer Boulevard,Queens,Queens
"Sunday, 1:00 PM",Recovery at High Noon Group,110 54 Farmers Boulevard,Queens,Queens
"Sunday, 1:00 PM",A Society Of Men And Women Group,Online1344 Clinton Avenue,Bronx,Queens
"Sunday, 1:00 PM",Our Common Welfare Group,177 Myrtle Avenue,Brooklyn,Queens
"Sunday, 1:00 PM",View of Recovery Group,Online95 Clerk Street,Jersey City,Queens
"Sunday, 1:15 PM",Meditation in Practice Group,273 Bowery,Manhattan,Queens
"Sunday, 1:30 PM",Recovery on One Hundred Fiftieth Street Group,143 22 109th Ave,Queens,Queens
"Sunday, 1:30 PM",Living on Livonia Group,318 Livonia Avenue,Brooklyn,Queens
"Sunday, 2:00 PM",Clean on Sunday Group,1545 Atlantic Avnue,Brooklyn,Queens
"Sunday, 2:00 PM",Nothing Macho Group,Online3424 Kossuth Avenue,Bronx,Queens
"Sunday, 2:00 PM",Newcomers Do Recover Group,3424 Kossuth Avenue,Bronx,Queens
"Sunday, 2:00 PM",Harlems House of Hope Group,123 West 124th Street,Manhattan,Queens
"Sunday, 2:00 PM",Life Begins Again Group,2205 1st Avenue,Manhattan,Queens
"Sunday, 2:15 PM",Serenity Sunday Group Manhattan,208 West 13th Street,Manhattan,Queens
"Sunday, 2:30 PM",Spiritual Principles Group,581 Mother Gaston Boulevard,Brooklyn,Queens
"Sunday, 2:30 PM",Let It Be Group,Online1400 Pelham Parkway South,Bronx,Queens
"Sunday, 3:00 PM",Soho Serenity Group,283 West Broadway,Manhattan,Queens
"Sunday, 3:00 PM",11th Step Workshop Group,135 West 31st Street,Manhattan,Queens
"Sunday, 3:00 PM",Spiritual Awakening Group Brooklyn,3244 Avenue U,Brooklyn,Queens
"Sunday, 3:15 PM",Two and Over Group,2044 7th Avenue,Manhattan,Queens
"Sunday, 3:15 PM",Recovery on First Avenue Group,2205 1st Avenue,Manhattan,Queens
"Sunday, 3:30 PM",Courage to Surrender Group,2640 Pitkin Avenue,Brooklyn,Queens
"Sunday, 4:00 PM",Dont Pick Up Issues In Recovery Group,22 East 119th Street,Manhattan,Queens
"Sunday, 4:00 PM",Free At Last Group,180 Court Street,Brooklyn,Queens
"Sunday, 4:00 PM",3rd and 11th Step Workshop Group,620 Marcy Avenue,Brooklyn,Queens
"Sunday, 4:00 PM",Stop the Drugs and Live Group,545 60th Street,Brooklyn,Queens
"Sunday, 4:00 PM",Mission is Over Group,357 Marcus Garvey Boulevard,Brooklyn,Queens
"Sunday, 4:00 PM",Freedom on Sunday Group,195 Maujer Street,Brooklyn,Queens
"Sunday, 4:15 PM",Meditation On Sunday Group,Online946 College Avenue,Bronx,Queens
"Sunday, 4:30 PM",Recovery Room Group Queens,110 54 Farmers Boulevard,Queens,Queens
"Sunday, 4:30 PM",Westside Serenity Group,207 West 96th Street,Manhattan,Queens
"Sunday, 4:30 PM",Just For Today Group Manhattan,743 East 9th Street,Manhattan,Queens
"Sunday, 4:45 PM",Men in Grace Group,54 South 6th Avenue,Mount Vernon,Queens
"Sunday, 5:00 PM",Ready and Willing Group,Online768 Ocean Avenue,Jersey City,Queens
"Sunday, 5:00 PM",Back to Basics Group Roosevelt,189 Babylon Turnpike,Roosevelt,Queens
"Sunday, 5:00 PM",Live at Five Group,110 54 Farmers Boulevard,Queens,Queens
"Sunday, 5:00 PM",Still A Miracle Group,Online125 West 109 Street,Manhattan,Queens
"Sunday, 5:00 PM",Women in Grace Group,54 South 6th Avenue,Mount Vernon,Queens
"Sunday, 5:00 PM",Recovery is the Point Group,85 North 15th Street,Brooklyn,Queens
"Sunday, 5:00 PM",Women on The Journey Group,206 East 4th Street,Manhattan,Queens
"Sunday, 5:30 PM",Searching for Freedom Group,1846 Randall Avenue,Bronx,Queens
"Sunday, 5:30 PM",Rebuilding in Mens Workshop Group,681 Clarkson Avenue,Brooklyn,Queens
"Sunday, 6:00 PM",Recovery on the Rock Group,150 Beach 110th Street,Queens,Queens
"Sunday, 6:00 PM",Another Look Group,12-16 West 108th Street,Manhattan,Queens
"Sunday, 6:00 PM",Grupo Humildad,157 Saint Pauls Place,Brooklyn,Queens
"Sunday, 6:00 PM",Clean at Last Group,2082 East 58th Street,Brooklyn,Queens
"Sunday, 6:00 PM",Boys to Men Group Brooklyn,7301 Ridge Boulevard,Brooklyn,Queens
"Sunday, 6:00 PM",No Pain No Gain Group,1285 Fulton Avenue,Bronx,Queens
"Sunday, 6:00 PM",Miracles On 174th Street Group,1372 Stratford Avenue,Bronx,Queens
"Sunday, 6:00 PM",People in Focus Group,545 60th Street,Brooklyn,Queens
"Sunday, 6:00 PM",Alive in Spring Creek Group,2640 Pitkin Avenue,Brooklyn,Queens
"Sunday, 6:00 PM",Sunday Miracles Group,1870 Crotona Avenue,Bronx,Queens
"Sunday, 6:00 PM",Clean And Serene Group Queens,33 50 82nd Street,Queens,Queens
"Sunday, 6:00 PM",Primary Purpose Group Brooklyn,2020 Foster Avenue,Brooklyn,Queens
"Sunday, 6:00 PM",I am Responsible Group,58 15 Catalpa Avenue,Queens,Queens
"Sunday, 6:00 PM",Stop the Drugs and Live Group,545 60th Street,Brooklyn,Queens
"Sunday, 6:00 PM",Relationships in Recovery Group,563 Sterling Place,Brooklyn,Queens
"Sunday, 6:00 PM",Serenity on Saturday Group Manhattan,208 West 13th Street,Manhattan,Queens
"Sunday, 6:00 PM",NA Unity Group,206 East 4th Street,Manhattan,Queens
"Sunday, 6:30 PM",The Only Game in Town Group,131 East 76th Street,Manhattan,Queens
"Sunday, 6:30 PM",Angels With Dirty Faces Group,Online165 West 86th Street,Manhattan,Queens
"Sunday, 6:30 PM",It Can Be Done Group,2960 Frederick Douglass Boulevard,Manhattan,Queens
"Sunday, 6:30 PM",Clean Slate Group Carle Place,534 Broadway,Carle Place,Queens
"Sunday, 6:30 PM",Greenpoint Serenity Group,155 Milton Street,Brooklyn,Queens
"Sunday, 6:30 PM",Clean Point Group,155 Milton Street,Brooklyn,Queens
"Sunday, 6:30 PM",By Any Means Necessary Group,520 Gates Avenue,Brooklyn,Queens
"Sunday, 6:45 PM",Live at Five Group,110 54 Farmers Boulevard,Queens,Queens
"Sunday, 7:00 PM",Unity on Union Group,82 06 Bell Boulevard,Queens,Queens
"Sunday, 7:00 PM",Steps on Sunday Group Queens,85 09 118th Street,Queens,Queens
"Sunday, 7:00 PM",Just for Today Group Queens,30 44 Crescent Street,Queens,Queens
"Sunday, 7:00 PM",More Recovery in Progress Group,311 Huguenot Street,New Rochelle,Queens
"Sunday, 7:00 PM",Keep it Green Group Brooklyn,96 South 9th Street,Brooklyn,Queens
"Sunday, 7:00 PM",Grupo Buena Voluntad,79 01 Broadway,Elmhurst,Queens
"Sunday, 7:00 PM",Road to Recovery Group Brooklyn,385 Avenue W,Brooklyn,Queens
"Sunday, 7:00 PM",Saturday Night Recovery Group,1740 Eastchester Road,Bronx,Queens
"Sunday, 7:00 PM",Serenity Sunday Group Valley Stream,130 South Central Avenue,Valley Stream,Queens
"Sunday, 7:00 PM",Last Chance Group,1943 Brown Street,Brooklyn,Queens
"Sunday, 7:00 PM",Sunday Steps Group,9511 4th Avenue,Brooklyn,Queens
"Sunday, 7:00 PM",Miracles Happen Group Queens,66 30 60th Place,Queens,Queens
"Sunday, 7:15 PM",Solid Foundation Group,130 East 25th Street,Manhattan,Queens
"Sunday, 7:30 PM",Steps and Traditions to Liberation Group,401 60th Street,West New York,Queens
"Sunday, 7:30 PM",Grupo Contra Viento Y Marea,322 39th Street,Union City,Queens
"Sunday, 7:30 PM",Asbury Addicts Group,Online265 Asbury Avenue,Westbury,Queens
"Sunday, 7:30 PM",In Out of the Cold Group,137 35 Brookville Boulevard,Queens,Queens
"Sunday, 7:30 PM",Life in Recovery Group,520 Gates Avenue,Brooklyn,Queens
"Sunday, 7:30 PM",Morris Park Group,Online800 Morris Park Avenue,Bronx,Queens
"Sunday, 7:30 PM",Emergency Room Group Bronx,3751 White Plains Road,Bronx,Queens
"Sunday, 7:30 PM",Searching for Freedom Group,1846 Randall Avenue,Bronx,Queens
"Sunday, 7:30 PM",Relationships Group Bronx,1512 Webster Avenue,Bronx,Queens
"Sunday, 7:30 PM",Emergency Room Group Yonkers,2 Park Avenue,Yonkers,Queens
"Sunday, 7:30 PM",Candlelight Burning Desire Group,87 South Broadway,Yonkers,Queens
"Sunday, 7:30 PM",Surrender to Win Group Brooklyn,2424 Linden Boulevard,Brooklyn,Queens
"Sunday, 7:30 PM",We Do Recover Group Brooklyn,2640 Pitkin Avenue,Brooklyn,Queens
"Sunday, 7:30 PM",Astoria Recovery Group,41 01 Ditmars Boulevard,Queens,Queens
"Sunday, 8:00 PM",RIP Group,Online83 Wayne Street,Jersey City,Queens
"Sunday, 8:00 PM",We Have a Dream Group,521 West 126th Street,Manhattan,Queens
"Sunday, 8:00 PM",Blue Print to Recovery Group,95 Stewart Avenue,Hicksville,Queens
"Sunday, 8:00 PM",Clean Slate Group Brooklyn,70 Bay 47th Street,Brooklyn,Queens
"Sunday, 8:00 PM",Russian Group,2609 East 19th Street,Brooklyn,Queens
"Sunday, 8:00 PM",Steps On The Beach Group,Online75 East Olive Street,Long Beach,Queens
"Sunday, 8:00 PM",No Matter What Group Hempstead,436 South Franklin Street,Hempstead,Queens
"Sunday, 8:00 PM",Alive in Bed Stuy Group,506 Macdonough Street,Brooklyn,Queens
"Sunday, 8:30 PM",Surf City Group,2701 Oceanside Road,Oceanside,Queens
"Sunday, 8:30 PM",New Step Guide Workshop Group,223 East 117th Street,Manhattan,Queens
"Sunday, 8:30 PM",Russian Group,2609 East 19th Street,Brooklyn,Queens
"Sunday, 9:00 PM",Hells Kitchen Group,442 West 57th Street,Manhattan,Queens
"Sunday, 10:00 PM",Late Show Group,16 Main Street,Hempstead,Queens
"Sunday, 11:00 PM",No More Excuses Group Manhattan,49 55 Edgecombe Avenue,Manhattan,Queens
"Sunday, 11:00 PM",No More Excuses Group Manhattan,49 55 Edgecombe Avenue,Manhattan,Queens
"Monday, 7:00 AM",7am In the Bronx Group,Online1640 Macombs Road,Bronx,Queens
"Monday, 7:30 AM",7 AM Wake Up Group,2960 Frederick Douglass Boulevard,Manhattan,Queens
"Monday, 9:00 AM",Voices or Choices Group,Online195 Claremont Avenue,Jersey City,Queens
"Monday, 9:00 AM",Nine AM Wake Up Group,18 Bleeker Street,New York,Queens
"Monday, 9:30 AM",Let There Be Life Group,49 55 Edgecombe Avenue,Manhattan,Queens
"Monday, 10:00 AM",Good News Is Group,110 54 Farmers Boulevard,Queens,Queens
"Monday, 10:00 AM",Midday Miracles Group,424 East 19th Street,Brooklyn,Queens
"Monday, 10:00 AM",Strictly Steps Group,424 East 19th Street,Brooklyn,Queens
"Monday, 12:00 PM",The Beginning Group,230 South 7th Avenue,Mount Vernon,Queens
"Monday, 12:00 PM",Recovery in the Afternoon Group Brooklyn,360 Schermerhorn Street,Brooklyn,Queens
"Monday, 12:15 PM",Lunchtime Recovery Group,195 Worth Street,Manhattan,Queens
"Monday, 1:00 PM",Hope in Hicksville Group,95 Stewart Avenue,Hicksville,Queens
"Monday, 1:00 PM",Living Free Group,334 East 14th Street,Manhattan,Queens
"Monday, 1:00 PM",Midtown Matinee Group,209 Madison Avenue,Manhattan,Queens
"Monday, 1:10 PM",Day By Day Group Woodside,31-31 61st Street,Woodside,Queens
"Monday, 2:00 PM",Hope at Two Group,2424 Linden Boulevard,Brooklyn,Queens
"Monday, 2:00 PM",Recovery R Us Group,83 Wayne Street,Jersey City,Queens
"Monday, 3:00 PM",Spiritual Awakening Group Brooklyn,3244 Avenue U,Brooklyn,Queens
"Monday, 3:00 PM",3 OClock Group,360 Schermerhorn Street,Brooklyn,Queens
"Monday, 3:00 PM",Manhattan 3 OClock Group,139 West 31st Street,Manhattan,Queens
"Monday, 4:00 PM",Life at 99 Group,225 West 99th Street,Manhattan,Queens
"Monday, 5:00 PM",Meeting Makers Make It Group,545 East 142nd Street,Bronx,Queens
"Monday, 5:30 PM",Living Ahora Group,2205 1st Avenue,Manhattan,Queens
"Monday, 5:30 PM",Recovery On The Cross Bronx Group,1870 Crotona Avenue,Bronx,Queens
"Monday, 6:00 PM",Mens Issues in Recovery Group,228 Grand Avenue,Englewood,Queens
"Monday, 6:00 PM",Mens Issues Group,228 Grand Avenue,Englewood,Queens
"Monday, 6:00 PM",Steps To Life Group Manhattan,743 East 9th Street,Manhattan,Queens
"Monday, 6:00 PM",Recovery on the Hill Group Manhattan,1727 Amsterdam Avenue,Manhattan,Queens
"Monday, 6:00 PM",Happy Hour Group,360 Schermerhorn Street,Brooklyn,Queens
"Monday, 6:00 PM",Brooklyns Mens Rap Group,1545 Atlantic Avnue,Brooklyn,Queens
"Monday, 6:00 PM",Dewey Or Dont We Group,Online1740 Eastchester Road,Bronx,Queens
"Monday, 6:00 PM",West Side Recovery Group,Online2217 John F Kennedy Boulevard,Jersey City,Queens
"Monday, 6:15 PM",Midtown Connection Group,239 West 49th Street,Manhattan,Queens
"Monday, 6:30 PM",Todays Women Group,110 54 Farmers Boulevard,Queens,Queens
"Monday, 6:30 PM",Village Spiritual Workshop Group,50 East 7th Street,Manhattan,Queens
"Monday, 6:30 PM",Seeking Recovery Group,237 East 104th Street,Manhattan,Queens
"Monday, 6:30 PM",Circle Of Miracles Group,289 Saint Nicholas Avenue,Manhattan,Queens
"Monday, 6:30 PM",Living Clean Group Hicksville,95 Stewart Avenue,Hicksville,Queens
"Monday, 6:30 PM",Just for Today 1 Group,Online1512 Webster Avenue,Bronx,Queens
"Monday, 6:30 PM",It Gets Better Group Bronx,1316 Boston Road,Bronx,Queens
"Monday, 6:30 PM",No More Secrets Group,20 New York Avenue,Brooklyn,Queens
"Monday, 6:30 PM",Lets Get Real Group,177 Myrtle Avenue,Brooklyn,Queens
"Monday, 7:00 PM",Hope Group Hoboken,Online61 Monroe Street,Hoboken,Queens
"Monday, 7:00 PM",Early Show in the Rock Group,240 Lincoln Avenue,Rockville Centre,Queens
"Monday, 7:00 PM",Stepping to Life Group,66 30 60th Place,Queens,Queens
"Monday, 7:00 PM",Monday Topic Group Queens,119 15 135 Avenue,Queens,Queens
"Monday, 7:00 PM",Right Step Group,87 South Broadway,Yonkers,Queens
"Monday, 7:00 PM",Free To Be Me Group,530 West 178th Street,Manhattan,Queens
"Monday, 7:00 PM",East Side Story Group,Online240 East 31st Street,Manhattan,Queens
"Monday, 7:00 PM",Cover To Cover Group,Online224 Waverly Place,Manhattan,Queens
"Monday, 7:00 PM",We Have Hope Group,2960 Frederick Douglass Boulevard,Manhattan,Queens
"Monday, 7:00 PM",Glad in Recovery Group,190 Court Street,Brooklyn,Queens
"Monday, 7:00 PM",Evening Serenity Group,3044 Coney Island Avenue,Brooklyn,Queens
"Monday, 7:00 PM",Beach Miracles Group,2750 Gerritsen Avenue,Brooklyn,Queens
"Monday, 7:00 PM",Open The Book Group,Online2345 University Avenue,Bronx,Queens
"Monday, 7:00 PM",Step and Traditions on Monday Group,1345 Lincoln Place,Brooklyn,Queens
"Monday, 7:00 PM",Serenity on Flatlands Group,12020 Flatlands Avenue,Brooklyn,Queens
"Monday, 7:00 PM",Good Orderly Direction Group Bronx,Online3880 Sedgwick Avenue,Bronx,Queens
"Monday, 7:00 PM",Co op Recovery Group,765 Co Op City Boulevard,Bronx,Queens
"Monday, 7:00 PM",Recovery in Boro Park Group,1273 53rd street,Brooklyn,Queens
"Monday, 7:00 PM",Women Working Against The Odds Group,715 Soundview Avenue,Bronx,Queens
"Monday, 7:00 PM",Monday Night Miracles Group Mount Vernon,312 South 8th Avenue,Mount Vernon,Queens
"Monday, 7:00 PM",Valley of the Dolls Group,206 East 4th Street,Manhattan,Queens
"Monday, 7:00 PM",Glenwood Topics Group,3114 Glenwood Road,Brooklyn,Queens
"Monday, 7:00 PM",We Qualify Group,953 Putnam Avenue,Brooklyn,Queens
"Monday, 7:00 PM",Serenity at Sunset Group,352 42nd Street,Brooklyn,Queens
"Monday, 7:00 PM",Gratitude Speaks Group Brooklyn,195 Graham Avenue,Brooklyn,Queens
"Monday, 7:00 PM",New Beginnings Steps and Traditions Group,105 Carlton Avenue,Brooklyn,Queens
"Monday, 7:30 PM",Miracles Happen Group North Bergen,5029 Kennedy Boulevard,North Bergen,Queens
"Monday, 7:30 PM",Why Are We Here Group,41 01 Ditmars Boulevard,Queens,Queens
"Monday, 7:30 PM",Todays Men Group,100 59 196th Street,Queens,Queens
"Monday, 7:30 PM",Recovery By The Book Group,196 West Centennial Avenue,Roosevelt,Queens
"Monday, 7:30 PM",Recover And Live Group,85 18 61st Road,Queens,Queens
"Monday, 7:30 PM",Brooklyn Survivors Group,9511 4th Avenue,Brooklyn,Queens
"Monday, 7:30 PM",Recovery All Around Group,1216 Burke Avenue,Bronx,Queens
"Monday, 7:30 PM",Females Finding Freedom Group,1807 Mahan Avenue,Bronx,Queens
"Monday, 7:30 PM",Underground Miracles Group,2427 Morris Avenue,Bronx,Queens
"Monday, 7:30 PM",TNT Group Throggs Neck Topic,2783 Lafayette Avenue,Bronx,Queens
"Monday, 7:30 PM",Spiritual Reflection Group,625 Castle Hill Avenue,Bronx,Queens
"Monday, 7:30 PM",Sisters in Recovery Group,612 Leland Avenue,Bronx,Queens
"Monday, 7:30 PM",Women at War Group,2326 84th Street,Brooklyn,Queens
"Monday, 7:30 PM",Hope in the Slope Group,33 7th Avenue,Brooklyn,Queens
"Monday, 8:00 PM",Monday Topic Group Stewart Manor,116 Elton Road,Stewart Manor,Queens
"Monday, 8:00 PM",Recovery By Sunrise Group,Online130 South Central Avenue,Valley Stream,Queens
"Monday, 8:00 PM",Recovery in the 80s Group,213 West 82nd Street,Manhattan,Queens
"Monday, 8:00 PM",Just Care Group,95 Stewart Avenue,Hicksville,Queens
"Monday, 8:00 PM",Recovery in the Garden Group,360 Schermerhorn Street,Brooklyn,Queens
"Monday, 8:00 PM",Steps On The Beach Group,Online75 East Olive Street,Long Beach,Queens
"Monday, 8:00 PM",War is Over Group Brooklyn,138 Bay 20th Street,Brooklyn,Queens
"Monday, 8:00 PM",Midtown Connection Group,239 West 49th Street,Manhattan,Queens
"Monday, 9:30 PM",Last Chance Queens,110 54 Farmers Boulevard,Queens,Queens
"Monday, 11:00 PM",No More Excuses Group Manhattan,49 55 Edgecombe Avenue,Manhattan,Queens
"Tuesday, 7:00 AM",7am In the Bronx Group,Online1640 Macombs Road,Bronx,Queens
"Tuesday, 7:30 AM",7 AM Wake Up Group,2960 Frederick Douglass Boulevard,Manhattan,Queens
"Tuesday, 9:00 AM",Go Nice and Easy Group,Online195 Claremont Avenue,Jersey City,Queens
"Tuesday, 9:00 AM",Nine AM Wake Up Group,18 Bleeker Street,New York,Queens
"Tuesday, 9:00 AM",Meditation in Practice Group,273 Bowery,Manhattan,Queens
"Tuesday, 9:30 AM",Let There Be Life Group,49 55 Edgecombe Avenue,Manhattan,Queens
"Tuesday, 9:30 AM",Clean Start Group,459 West 149th Street,Manhattan,Queens
"Tuesday, 10:00 AM",Good News Is Group,110 54 Farmers Boulevard,Queens,Queens
"Tuesday, 10:00 AM",Midday Miracles Group,424 East 19th Street,Brooklyn,Queens
"Tuesday, 10:00 AM",Strictly Steps Group,424 East 19th Street,Brooklyn,Queens
"Tuesday, 11:00 AM",Recovery On The Southside Group,143 22 109th Ave,Queens,Queens
"Tuesday, 12:00 PM",The Beginning Group,230 South 7th Avenue,Mount Vernon,Queens
"Tuesday, 12:00 PM",Recovery in the Afternoon Group Brooklyn,360 Schermerhorn Street,Brooklyn,Queens
"Tuesday, 12:00 PM",Strictly Steps Group,424 East 19th Street,Brooklyn,Queens
"Tuesday, 12:15 PM",RAW Group,760 Broadway,Brooklyn,Queens
"Tuesday, 1:00 PM",No More Excuses Group Queens,110 54 Farmers Boulevard,Queens,Queens
"Tuesday, 1:00 PM",Daysteppers Group,95 Stewart Avenue,Hicksville,Queens
"Tuesday, 1:00 PM",Recovery In the Afternoon Group Bronx,439 East 238th Street,Bronx,Queens
"Tuesday, 1:00 PM",Living Free Group,334 East 14th Street,Manhattan,Queens
"Tuesday, 1:00 PM",Midtown Matinee Group,209 Madison Avenue,Manhattan,Queens
"Tuesday, 1:10 PM",Day By Day Group Woodside,31-31 61st Street,Woodside,Queens
"Tuesday, 2:00 PM",Hope at Two Group,2424 Linden Boulevard,Brooklyn,Queens
"Tuesday, 2:30 PM",Meeting Makers Make It Group,545 East 142nd Street,Bronx,Queens
"Tuesday, 3:00 PM",Spiritual Awakening Group Brooklyn,3244 Avenue U,Brooklyn,Queens
"Tuesday, 3:00 PM",Manhattan 3 OClock Group,139 West 31st Street,Manhattan,Queens
"Tuesday, 5:00 PM",Men And Women Do Recover Group,1285 Fulton Avenue,Bronx,Queens
"Tuesday, 5:00 PM",Recover and Live Liberty at Last Group,91 Junius Street,Brooklyn,Queens
"Tuesday, 5:15 PM",Just For Men Group,110 54 Farmers Boulevard,Queens,Queens
"Tuesday, 5:15 PM",No Matter What Group Manhattan,743 East 9th Street,Manhattan,Queens
"Tuesday, 5:30 PM",In The Literature Group,2759 Webster Avenue,Bronx,Queens
"Tuesday, 6:00 PM",Best Kept Secret Group,129 West 115th Street,Manhattan,Queens
"Tuesday, 6:00 PM",Winner Circle Group,809 Westchester Avenue,Bronx,Queens
"Tuesday, 6:00 PM",Recovery on the Hudson Group,211 West 129th Street,Manhattan,Queens
"Tuesday, 6:00 PM",Tuesday Night Hope Group,Online77 Saint Nicholas Avenue,Manhattan,Queens
"Tuesday, 6:00 PM",Steps Today Group,254 Hicks Street,Brooklyn,Queens
"Tuesday, 6:15 PM",Recovery in El Barrio Group,237 East 104th Street,Manhattan,Queens
"Tuesday, 6:30 PM",Recovery in the Castle Group,625 Riverside Drive,Manhattan,Queens
"Tuesday, 6:30 PM",Coney Island in Recovery Group,2950 West 25th Street,Brooklyn,Queens
"Tuesday, 6:30 PM",2nd Chance Group,2604 3rd Avenue,Bronx,Queens
"Tuesday, 6:30 PM",Serenity at Trinity Group,808 East 224th Street,Bronx,Queens
"Tuesday, 6:30 PM",Rough on the Outside Group Bronx,912 East 178th Street,Bronx,Queens
"Tuesday, 6:30 PM",Twelve and Twelve Group,Online140 Martin Luther King Junior Drive,Jersey City,Queens
"Tuesday, 6:30 PM",We Have Hope Here Group,280 East 161st Street,Bronx,Queens
"Tuesday, 6:30 PM",Closest To The Heart Group,22 East 119th Street,Manhattan,Queens
"Tuesday, 6:30 PM",Green and Gold Group,220 East 76th Street,Manhattan,Queens
"Tuesday, 6:30 PM",Tuesday Night Topics Group,460 Marcus Garvey Boulevard,Brooklyn,Queens
"Tuesday, 6:30 PM",Recovery From The Heart Group,200 Madison Street,Manhattan,Queens
"Tuesday, 7:00 PM",Keep it Simple Group Fairview,295 Hudson Place,Fairview,Queens
"Tuesday, 7:00 PM",Out of the Dark into the Light Group,228 Grand Avenue,Englewood,Queens
"Tuesday, 7:00 PM",Recurring Themes Group,10 Nathan D Perlman Place,Manhattan,Queens
"Tuesday, 7:00 PM",Unity in Recovery Group,250 South 6th Avenue,Mount Vernon,Queens
"Tuesday, 7:00 PM",Recovery on Main Street Group,16 Main Street,Hempstead,Queens
"Tuesday, 7:00 PM",Here We Live Today Group,832 Knickerbocker Avenue,Brooklyn,Queens
"Tuesday, 7:00 PM",Evening Serenity Group,3044 Coney Island Avenue,Brooklyn,Queens
"Tuesday, 7:00 PM",Recovery On McCombs Road,Online1640 Macombs Road,Bronx,Queens
"Tuesday, 7:00 PM",Principles Before Personalities Group Bronx,3424 Kossuth Avenue,Bronx,Queens
"Tuesday, 7:00 PM",Keeping It Green Group Bronx,1619 Bronx River Avenue,Bronx,Queens
"Tuesday, 7:00 PM",Miracles on 60th Street Group,545 60th Street,Brooklyn,Queens
"Tuesday, 7:00 PM",Young and Free Group,311 Huguenot Street,New Rochelle,Queens
"Tuesday, 7:00 PM",Recovery by the River Group Manhattan,91 Claremont Avenue,Manhattan,Queens
"Tuesday, 7:00 PM",STAR Group,1072 80th Street,Brooklyn,Queens
"Tuesday, 7:00 PM",Here We Live Today Group,832 Knickerbocker Avenue,Brooklyn,Queens
"Tuesday, 7:00 PM",Turning it Over Group,96 South 9th Street,Brooklyn,Queens
"Tuesday, 7:15 PM",Miracle on 38th Street Group,307 West 38th Street,Manhattan,Queens
"Tuesday, 7:30 PM",Anchored to Miracles Group,110 Anchor Avenue,Oceanside,Queens
"Tuesday, 7:30 PM",Recovery on the Rock Group,150 Beach 110th Street,Queens,Queens
"Tuesday, 7:30 PM",KISS Group Yonkers,11-23 Saint Casimir Avenue,Yonkers,Queens
"Tuesday, 7:30 PM",Boys To Men Group Levittown,Online3100 Hempstead Turnpike,Levittown,Queens
"Tuesday, 7:30 PM",Women With the Women Group Floral Park,57 Spooner Street,Floral Park,Queens
"Tuesday, 7:30 PM",Grupo Buena Voluntad,79 01 Broadway,Elmhurst,Queens
"Tuesday, 7:30 PM",Welcome to Recovery Group,716 Lincoln Place,Brooklyn,Queens
"Tuesday, 7:30 PM",Hugs Not Drugs Group Bronx,Online2759 Webster Avenue,Bronx,Queens
"Tuesday, 7:30 PM",Go To Recover Group,1807 Mahan Avenue,Bronx,Queens
"Tuesday, 7:30 PM",Prime Time Group,2776 Gerritsen Avenue,Brooklyn,Queens
"Tuesday, 7:30 PM",7th Heaven Bridge Back to Life Group,410 6th Avenue,Brooklyn,Queens
"Tuesday, 7:30 PM",Ties That Bind Us Group,Online2380 East Tremont Avenue,Bronx,Queens
"Tuesday, 7:30 PM",Awareness Group,95 18 Northern Boulevard,Queens,Queens
"Tuesday, 7:30 PM",Together We Can Group Brooklyn,94 Hale Avenue,Brooklyn,Queens
"Tuesday, 7:30 PM",Spiritual Connection Group,82 10 Queens Blvd,Queens,Queens
"Tuesday, 7:30 PM",Bridge to Recovery Group,30 14 Crescent Street,Queens,Queens
"Tuesday, 7:30 PM",Freedom to Choose Group,6414 Clinton Avenue,Queens,Queens
"Tuesday, 7:30 PM",Back Together Again Group,400 Lincoln Road,Brooklyn,Queens
"Tuesday, 7:45 PM",New Attitude Group,163 MacDonough Street,Brooklyn,Queens
"Tuesday, 8:00 PM",Bleecker Street Tuesday Group,Online155 Sullivan Street,Manhattan,Queens
"Tuesday, 11:00 PM",No More Excuses Group Manhattan,49 55 Edgecombe Avenue,Manhattan,Queens
