PROVIDER_NAME,PROVIDER_NUMBER,PROVIDER_STREET,PROVIDER_CITY,PROVIDER_COUNTY,PROVIDER_STATE,PROVIDER_ZIP_CODE,PROVIDER_ZIP_CODE_PLUS_4,PROGRAM_NAME,PROGRAM_NUMBER,PROGRAM_COUNTY,PROGRAM_STREET_ADDRESS,PROGRAM_CITY,PROGRAM_STATE,PROGRAM_ZIP_CODE,PROGRAM_ZIP_CODE_PLUS_4,PROGRAM_DIRECTOR,PROGRAM_DIRECTOR_EMAIL,PROGRAM_DIRECTOR_TELEPHONE,PROGRAM_DIRECTOR_PHONE_EXTENSION,PROGRAM_TYPE,SERVICE_TYPE,ADMISSION_PHONE,ADMISSION_PHONE_EXT,TELEHEALTH_SERVICES,ADOLESCENT_DESIGNATION,PROBLEM_GAMBLING,INTEGRATED_LICENSE_SERVICE,PARENTS_WITH_CHILDREN,LGBTQ_ENDORSEMNT,ADDITIONAL_LOCATION_STREET,ADDITIONAL_LOCATION_CITY,ADDITIONAL_LOCATION_ZIP,ADDITIONAL_LOCATION_COUNTYNAME,Latitude,Longitude
East House Corporation,50410,259 Monroe Ave,Rochester,Monroe,NY,14607,3632.0,Cody RRi,53754,Monroe,407 Frederick Douglass St,Rochester,NY,14608,,Ms. Elysabeth Viera,eviera@easthouse.org,5852384822,,Residential Services,820 Residential Reintegration,,,,,,,,,,,,,43.14918,-77.599319
"Huther-Doyle Memorial Institute, Inc.",32707,360 East Ave,Rochester,Monroe,NY,14604,2638.0,Discovery OP,6013,Monroe,360 East Ave,Rochester,NY,14604,2699.0,Ms. Katie Serio,kserio@hutherdoyle.com,5853255100,,Outpatient Services,Outpatient Clinic,5853255100.0,3569.0,Y,,,,,,,,,,43.155497,-77.594679
John L. Norris Addiction Treatment Ctr,90002,1732 South Avenue,Rochester,Monroe,NY,14620,3005.0,John L. Norris ATC IP,50722,Monroe,1732 South Ave,Rochester,NY,14620,4238.0,Mr. Jason Goldwasser,jason.goldwasser@oasas.ny.gov,5854610410,238.0,Inpatient Treatment Services,Inpatient Rehabilitation,,,Y,,Y,,,,,,,,43.121641,-77.614579
Strong Memorial Hospital,87080,601 Elmwood Ave,Rochester,Monroe,NY,14623,,AYA (Adolescent/Young Adult) OCCBHC,53782,Monroe,2613 W Henrietta Rd,Rochester,NY,14623,2327.0,Mrs. Julie V Achtyl,julie_achtyl@urmc.rochester.edu,5852763394,,Outpatient Services,Crtfd Cmty Behavioral Hlth Clnc,,,Y,,,Mental Health,,,,,,,43.122582,-77.625657
The Rochester General Hospital,85320,490 East Ridge Road,Rochester,Monroe,NY,14621,3095.0,Rochester Mental Health Center OP,50216,Monroe,490 E Ridge Rd,Rochester,NY,14621,1229.0,Ms. Jennifer Esten,jennifer.esten@rochesterregional.org,5853684719,,Outpatient Services,Outpatient Clinic,,,Y,,,,,Y,,,,,43.196197,-77.605244
The Unity Hospital of Rochester,83250,81 Lake Ave,Rochester,Monroe,NY,14608,1410.0,The Unity Hospital of Rochester IP,50904,Monroe,1565 Long Pond Rd,Rochester,NY,14626,4122.0,Christina Halter,christina.halter@rochesterregional.org,5857237723,,Inpatient Treatment Services,Inpatient Rehabilitation,,,Y,,,,,Y,,,,,43.165866,-77.625065
Villa of Hope,37220,3300 Dewey Ave,Rochester,Monroe,NY,14616,3741.0,Life Program RRSY,4856,Monroe,3300 Dewey Ave,Rochester,NY,14616,3741.0,Kelly Wilmot,kelly.wilmot@villaofhope.org,5858651550,224.0,Residential Services,Residential Rehab for Youth,,,Y,,,,,,,,,,,
"Westfall Associates, Inc.",85059,919 Westfall Road,Rochester,Monroe,NY,14618,,"Westfall Associates, Inc. OP",51102,Monroe,919 Westfall Rd,Rochester,NY,14618,2661.0,Mr. Craig Smith MSW,csmith@westfallcd.com,5854731500,113.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,43.114702,-77.596417
YWCA of Rochester and Monroe County NY,10940,175 N Clinton Ave,Rochester,Monroe,NY,14604,1109.0,Steppingstone SL,51479,Monroe,175 N Clinton Ave,Rochester,NY,14604,1109.0,Ms. Amy Wells,awells@ywcarochester.org,5853682225,,Residential Services,Supportive Living,5853682225.0,,Y,,,,Y,,,,,,43.16057,-77.607972
MHA in Fulton and Montgomery Counties,24020,307-309 Meadow Street,Johnstown,Montgomery,NY,12095,2828.0,Lighthouse CR,52620,Montgomery,26 Phillips St,Amsterdam,NY,12010,1228.0,Ms. Amanda McKeough LMSW,amckeough@mhafm.org,5188423717,206.0,Residential Services,Community Residential,5188423717.0,206.0,,,,,Y,,,,,,43.001567,-74.378217
Backstretch Employee Service Team,47560,2150 Hempstead Tpke,Elmont,Nassau,NY,11003,,Backstretch Employee Service Team OP,52547,Nassau,2150 Hempstead Tpke,Elmont,NY,11003,,Mr. Paul Ruchames LCSW,paul@bestbackstretch.org,5164883434,103.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.709525,-73.720452
Behavioral Enhancement Substance Abuse,48360,770 Grand Blvd,Deer Park,Suffolk,NY,11729,5725.0,BEST - Plainview OP,53587,Nassau,998 Old Country Rd,Plainview,NY,11803,4981.0,Ms. Lauren A Grady LCSW,lgrady@best-tx.com,5163904347,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.759276,-73.311862
"Center for Rapid Recovery, Inc.",26730,312 Greenwich St,Hempstead,Nassau,NY,11550,6318.0,"Center for Rapid Recovery, Inc. OP",7252,Nassau,312 Greenwich St,Hempstead,NY,11550,6318.0,Mr. Christopher J Savini II,csavini@rapidrecovery.org,5162926449,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.699112,-73.613696
Central Nassau Guidance and Counseling,50710,950 S Oyster Bay Rd,Hicksville,Nassau,NY,11801,,Central Nassau Guidance Srv OCCBHC,53771,Nassau,950 S Oyster Bay Rd,Hicksville,NY,11801,3510.0,Mrs. Jaclyn McCarthy CASAC,jmccarthy@centralnassau.org,5168226111,2001.0,Outpatient Services,Crtfd Cmty Behavioral Hlth Clnc,,,Y,,,OMH Hosted,,,,,,,40.757244,-73.500527
"Charles Evans Center, Inc.",49140,113 Glen Cove Avenue,Glen Cove,Nassau,NY,11542,1030.0,Charles Evans Center at Glen Cove OP,53342,Nassau,113 Glen Cove Ave,Glen Cove,NY,11542,3438.0,Jessica Colon RN,ColonJ@charlesevanscenter.org,5166762388,110.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.857278,-73.634679
"COPAY, Inc.",145,21 North Station Plaza,Great Neck,Nassau,NY,11021,5013.0,"COPAY, Inc. OP",497,Nassau,21 N Station Plz,Great Neck,NY,11021,5013.0,Ms. Maria E Cuadra,mariaelisacuadra.copay@gmail.com,5164662509,12.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.787646,-73.726792
"EAC, Inc.",33030,99 Quentin Roosevelt Blvd.,Garden City,Nassau,NY,11530,,EAC Outpatient Clinic OP,6815,Nassau,175 Fulton Ave,Hempstead,NY,11550,3702.0,Ms. Sherri Flournoy,sherri.flournoy@eac-network.org,5164863222,118.0,Outpatient Services,Outpatient Clinic,5164863222.0,118.0,Y,,,,,,,,,,40.727462,-73.605756
Family and Children's Association,30120,377 Oak Street,Garden City,Nassau,NY,11530,,Hicksville Drug Counseling Center OP,50923,Nassau,180 Broadway,Hicksville,NY,11801,4256.0,Mr. Nicholas DiPietro LCSW,ndipietro@fcali.org,5169356858,4214.0,Outpatient Services,Outpatient Clinic,5169356858.0,,Y,Y,,,,,126 North Franklin Street,Hempstead,11550.0,Nassau,40.725218,-73.608972
"Five Towns Community Center, Inc.",33240,270 Lawrence Avenue,Lawrence,Nassau,NY,11559,1249.0,"Five Towns Community Center, Inc. OP",765,Nassau,270 Lawrence Ave,Lawrence,NY,11559,1224.0,Mr. K. Brent Hill,BHill@fivetownsmail.org,5162396244,234.0,Outpatient Services,Outpatient Clinic,5162396244.0,234.0,Y,,,,,,,,,,40.619,-73.736556
"Friends of Bridge, Inc.",139,5 Pflug Pl #11,Valley Stream,Nassau,NY,11580,3900.0,"Friends of Bridge, Inc. OP",239,Nassau,5-11 Pflug Pl,Valley Stream,NY,11580,3900.0,Loretta McManus CASAC,lmcmanfob@gmail.com,5168254242,,Outpatient Services,Outpatient Clinic,5168254242.0,,Y,,,,,,,,,,,
"Hispanic Counseling Center, Inc.",33160,344 Fulton Ave,Hempstead,Nassau,NY,11550,6445.0,"Hispanic Counseling Center, Inc. OP",50972,Nassau,344 Fulton Ave,Hempstead,NY,11550,3923.0,Mrs. America Ducena LCSW,aducena@hispaniccounseling.org,5165382613,262.0,Outpatient Services,Outpatient Clinic,5165382613.0,262.0,Y,,,,,,,,,,40.708597,-73.621842
"Long Beach Reach, Inc.",190,2-12 W Park Ave,Long Beach,Nassau,NY,11561,,"Long Beach Reach, Inc. OP",7051,Nassau,2-12 W Park Ave,Long Beach,NY,11561,,Dr. Joseph M Smith PhD,jsmith@longbeachreach.com,5168892332,,Outpatient Services,Outpatient Clinic,5168892332.0,,Y,,,,,,165 East Park Avenue,Long Beach,11561.0,Nassau,40.588146,-73.664376
Long Island Jewish Medical Center,85210,75-59 263rd St,Glen Oaks,Queens,NY,11004,,Garden City Treatment Center OP,50064,Nassau,711 Stewart Ave,Garden City,NY,11530,4731.0,Ms. Heather Hugelmeyer LCSW,hdoughty@northwell.edu,5167424015,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.750739,-73.711066
Long Island Treatment Center LLC,51710,100 W Nicholai St,Hicksville,Nassau,NY,11801,3887.0,Long Island Treatment Center LLC OP,53561,Nassau,100 W Nicholai St,Hicksville,NY,11801,3887.0,Mrs. Sarah Stanton,sarah@longislandtreatmentcenters.com,5168288390,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.764739,-73.52598
Mercy Medical Center,85030,506 Stewart Avenue,Garden City,Nassau,NY,11530,,Mercy Hall RRi,53525,Nassau,95 Pine St,Freeport,NY,11520,,Ms. Jennifer O'Connell,jennifer.o'connell@chsli.org,5165467070,,Residential Services,820 Residential Reintegration,,,,,,,,,,,,,40.728935,-73.61837
Nassau Alternative Advocacy Program,41400,151 Herricks Rd,Garden City Park,Nassau,NY,11040,5200.0,Nassau Alternative Advocacy Program OP,51819,Nassau,151 Herricks Rd,Garden City Park,NY,11040,5200.0,Mr. Michael S Andrews CASAC,timandrews@naapcs.org,5167413110,,Outpatient Services,Outpatient Clinic,5167413110.0,,Y,,,,,,,,,,40.741219,-73.655207
"Nassau Co Office of MH, CD and DD Svcs",40150,60 Charles Lindbergh Blvd,Uniondale,Nassau,NY,11553,3687.0,Nassau Co Office of MH CD & DD  OTP,52127,Nassau,2201 Hempstead Tpke,East Meadow,NY,11554,1859.0,Jeannine Henn LCSW,jhenn@nassaucountyny.gov,5165725728,,Opioid Treatment,Opioid Outpatient Treatment,5165726305.0,,Y,,,,,,,,,,40.724361,-73.602646
Nassau University Medical Hospital,85020,2201 Hempstead Tpke,East Meadow,Nassau,NY,11554,1859.0,Nassau University Medical Hospital IP,52094,Nassau,2201 Hempstead Tpke,East Meadow,NY,11554,1859.0,Dr. Constantine Ioannou MD,cioannou@numc.edu,5162963296,,Inpatient Treatment Services,Inpatient Rehabilitation,5165729402.0,,,,,,,,,,,,40.726153,-73.553764
North Shore Child/Family Guidance,21730,480 Old Westbury Rd,Roslyn Heights,Nassau,NY,11577,2215.0,North Shore Child/Family Guidance OP,51657,Nassau,999 Brush Hollow Rd,Westbury,NY,11590,1704.0,Ms. Nellie Taylor Walthrust,ntaylorwalthrust@northshorechildguidance.org,5169972926,229.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.783723,-73.632498
"Oceanside Counseling Center, Inc.",11500,71 Homecrest Court,Oceanside,Nassau,NY,11572,2209.0,"Oceanside Counseling Center, Inc. OP",6438,Nassau,71 Homecrest Ct,Oceanside,NY,11572,2209.0,Mrs. TERESA K MAGUIRE,teresa.maguire@snch.org,5167666283,,Outpatient Services,Outpatient Clinic,5167666283.0,,Y,,,,,,,,,,40.644099,-73.636066
Rockville Ctr Drug & Alc.Abuse-CONFIDE,78,30 Hempstead Avenue  Ste H-9,Rockville Centre,Nassau,NY,11570,4034.0,Rockville Ctr Drug & Alc.Abuse OP,498,Nassau,30 Hempstead Ave,Rockville Centre,NY,11570,4034.0,Wanda Y Florentino,wflorentino@confidecounseling.net,5167645522,,Outpatient Services,Outpatient Clinic,5167645522.0,,Y,,,,,,,,,,40.66490555,-73.64151001
"Seafield Services, Inc.",17440,7 Seafield Ln,Westhampton Beach,Suffolk,NY,11978,2714.0,Seafield Mineola OP,51109,Nassau,110 Main St,Mineola,NY,11501,4000.0,Mrs. Kieran Gallogly,kdwyer@seafieldcenter.com,5167475644,,Outpatient Services,Outpatient Clinic,5167475644.0,,Y,,,,,,,,,,40.810032,-72.637424
South Shore Guidance Center,50580,91 Guy Lombardo Ave,Freeport,Nassau,NY,11520,3731.0,C.A.R.E. OP,52960,Nassau,114 Church St,Freeport,NY,11520,,Mrs. Carolyn Walsh MSW,cwalsh@southshorechildguidance.org,5168683030,103.0,Outpatient Services,Outpatient Clinic,5168683030.0,103.0,Y,,,,,,,,,,40.653859,-73.584174
"Southeast Nassau Guidance Center, Inc.",50150,2146 Jackson Ave,Seaford,Nassau,NY,11783,2606.0,Chemical Dep. Counseling and Trmt OP 1,50473,Nassau,2146 Jackson Ave,Seaford,NY,11783,2606.0,Mr. Herman Goldstein LCSW,hgoldstein@sngcounseling.org,5166799800,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.669449,-73.487552
"Tempo Group, Inc.",313,112 Franklin Place,Woodmere,Nassau,NY,11598,,Woodmere Clinic OP,7066,Nassau,112 Franklin Pl,Woodmere,NY,11598,1217.0,Mrs. Cindy Wolff,cwolff@tempogroup.org,5163743671,127.0,Outpatient Services,Outpatient Clinic,5163743671.0,127.0,Y,,,,,,23 Willis Avenue,Syosset,11791.0,Nassau,40.633001,-73.70785
The Kenneth Peters Center for Recovery,17580,300 Motor Parkway,Hauppauge,Suffolk,NY,11788,,Kenneth Peters Center for Recovery OP,51619,Nassau,6800 Jericho Tpke,Syosset,NY,11791,4436.0,Ms. Claudia Peters Ragni,claudiakpc@aol.com,5163642220,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.807958,-73.248891
"The New Horizon Counseling Center, Inc",15440,108-19 Rockaway Blvd,S Ozone Park,Nassau,NY,11420,1034.0,"New Horizon Counseling Ctr, Inc OP",52804,Nassau,50 W Hawthorne Ave,Valley Stream,NY,11580,,Cecily Haramis,charamis@nhcc.us,5168729698,,Outpatient Services,Outpatient Clinic,,,Y,,,OMH Hosted,,,,,,,40.678167,-73.830311
Triumph Treatment LLC,50670,2808 Avenue P,Brooklyn,Nassau,NY,11229,1810.0,Triumph Treatment LLC OTP,53303,Nassau,309 W Park Ave,Long Beach,NY,11561,3241.0,Mr. Robert Krauss,bob@triumphtreatment.com,5168545400,,Opioid Treatment,Opioid Outpatient Treatment,5168545400.0,,,,,,,,,,,,40.611559,-73.945577
Victory Recovery Partners,50850,100 Granny Rd,Farmingville,Suffolk,NY,11738,4033.0,Victory Recovery Partners OP 3,53505,Nassau,5100 Sunrise Hwy,Massapequa Park,NY,11762,2935.0,Carol McKinney,cmckinney@victoryrp.com,6316964357,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.833884,-73.021775
Youth and Family Counseling Oyster Bay,358,12 Irving Place,Oyster Bay,Nassau,NY,11771,,Youth &Family Counseling OysterBay  OP,682,Nassau,193A South St,Oyster Bay,NY,11771,2252.0,Ms. Susan D'Alesandro,sdalesandro@yfcaoysterbay.org,5169226867,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.869601,-73.530884
"Youth Environmental Services, Inc.",1380,75 Grand Ave,Massapequa,Nassau,NY,11758,4905.0,Youth Environmental Services OP,7115,Nassau,75 Grand Ave,Massapequa,NY,11758,5034.0,Ms. Angela Piccininni LCSW,info@yesccc.org,5167993203,120.0,Outpatient Services,Outpatient Clinic,5167993203.0,120.0,Y,,,,,,152 Center Lane,Levittown,11756.0,Nassau,40.677865,-73.472274
Alliance for Positive Change,48900,64 W 35th St,New York,New York,NY,10001,2201.0,CASA Washington Heights OP,52799,New York,2036 Amsterdam Ave,New York,NY,10032,5078.0,Dr. Peter Boutros PhD,peter3@alliance.nyc,2126450875,710.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.75016,-73.98681
Artemis Partners LLC,52920,243 W 18th St,New York,New York,NY,10011,,Mountainside Chelsea OP,53845,New York,243 W 18th St,New York,NY,10011,,Daniel Smith,Daniel.Smith@Mountainside.com,8608241397,197.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.742038,-73.999707
Ascendant New York,49900,113 E 60th St,New York,New York,NY,10022,,Ascendant New York MSW-IP,53204,New York,113 E 60th St,New York,NY,10022,,Charlotte Bareiss,cbareiss@ascendantny.com,9172620003,729.0,Crisis Services,Med Sup Withdrawal - Inpatient,,,Y,,,,,,,,,,40.763468,-73.968585
"Bailey House, Inc.",1738,1751 Park Ave,New York,New York,NY,10035,,"Bailey House, Inc. OP",52933,New York,1751 Park Ave,New York,NY,10035,,Dara Walker,dwalker@housingworks.org,2122896008,365.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.802572,-73.94041
Bellevue Hospital Center (HHC),85120,462 First Ave,New York,New York,NY,10016,9196.0,Bellevue Hospital Center (HHC) OP,51912,New York,462 1st Ave,New York,NY,10016,9198.0,Mr. Peter Baldonado MSW,Peter.Baldonado@nychhc.org,2125622399,,Outpatient Services,Outpatient Clinic,2125622267.0,,Y,,,,,,,,,,40.739218,-73.975239
"Bliss-Poston The Second Wind, Inc.",1823,928 Broadway,New York,New York,NY,10010,8151.0,Bliss-Poston The Second Wind Inc. OP,5111,New York,928 Broadway,New York,NY,10010,8151.0,Mr. John Bliss,bptsw@earthlink.net,2124811055,14.0,Outpatient Services,Outpatient Clinic,2124811055.0,40.0,Y,,,,,,,,,,40.740008,-73.989122
"Bowery Residents' Committee, Inc.",50490,127 W 25th St,New York,New York,NY,10001,,"Bowery Residents' Committee, Inc. OP",50012,New York,127 W 25th St,New York,NY,10001,7207.0,Mr. Murray Edwards CASAC,medwards@brc.org,2125296320,8716.0,Outpatient Services,Outpatient Clinic,2125296320.0,,Y,,,,,,,,,,40.744938,-73.993048
Care Counseling Center LLC,48850,214 W 116 St,New York,New York,NY,10026,,Care Counseling Center LLC OP,52795,New York,214-216 W 116th St,New York,NY,10026,,Mr. James w malewicz CASAC,jim@carecounselingnyc.com,2126021400,202.0,Outpatient Services,Outpatient Clinic,2126021400.0,,Y,,,,,,,,,,40.803335,-73.953491
"Carnegie Hill of New York, Inc.",53320,116 E 92nd St,New York,New York,NY,10128,,CHI New York OP,53820,New York,116 E 92nd St,New York,NY,10128,,Oren Mayo,omayo@chinewyork.com,9173047069,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.78351,-73.953805
Center for Comprehensive Hlth Practice,10030,35 E 110th St,New York,New York,NY,10029,4314.0,Cntr for Comprhnsiv Hlth Practice OP,53807,New York,35 E 110th St,New York,NY,10029,4314.0,Michelle Gadot,mgadot@cchphealthcare.org,2123607768,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.796477,-73.947828
"Create, Inc.",296,73 Lenox Ave,New York,New York,NY,10026,,"Create, Inc. OP",658,New York,73-75 Lenox Ave,New York,NY,10026,3007.0,Mr. Lawrence Lang,llang@createinc.org,2126631596,,Outpatient Services,Outpatient Clinic,2126631596.0,300.0,Y,,,,,,,,,,40.800619,-73.951119
"Elev8 Center New York, LLC",50200,151 W 136th St,New York,New York,NY,10030,2606.0,"Elev8 Center New York, LLC IP",53268,New York,151 W 136th St,New York,NY,10030,2606.0,Ms. Jamie Schwartz,asirken@elev8centers.com,9142999283,,Inpatient Treatment Services,Inpatient Rehabilitation,,,Y,,,,,,,,,,40.815696,-73.942131
"Exodus Transitional Community, Inc.",49050,3rd Ave,New York,New York,NY,10035,2231.0,"Exodus Transitional Community, Inc. OP",52922,New York,2271 3rd Ave,New York,NY,10035,2231.0,Mr. Joshua Barnes CASAC,jbarnes@etcny.org,9174920990,104.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.801348,-73.937123
"Exponents, Inc.",2015,17 Battery Pl,New York,New York,NY,10004,1008.0,"Exponents, Inc. OP",7128,New York,17 Battery Pl,New York,NY,10004,,Ms. Shaniqua V Varner CASAC,vvarner@exponents.org,2122433434,322.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.70577,-74.015984
"Freedom Institute,  Inc.",32106,515 Madison Ave,New York,New York,NY,10022,,Freedom Institute Inc. OP,51015,New York,515 Madison Ave,New York,NY,10022,5403.0,Mrs. Caroline Kern,caroline.kern@freedominstitute.org,2128380044,16.0,Outpatient Services,Outpatient Clinic,2128380044.0,,Y,,,,,,,,,,40.759746,-73.973716
"Greenhope Services for Women, Inc.",31030,300 E. 175th St,Bronx,New York,NY,10457,,"Greenhope Services for Women, Inc. SRR",53353,New York,435-439 E 119th St,New York,NY,10035,3627.0,Ms. Shahed Mohmed,smohmed@greenhope.org,7186831771,,Residential Services,820 Stabil Rehab Reintegration,3478990008.0,,,,,,Y,,,,,,40.846352,-73.904314
"Greenwich House, Inc.",50730,122 W 27th St,New York,New York,NY,10001,,Greenwich House East OTP,18,New York,190 Mercer St,New York,NY,10012,2602.0,Mrs. Caitlyn Romano,cromano@greenwichhouse.org,2126773400,224.0,Opioid Treatment,Opioid Outpatient Treatment,2126773400.0,410.0,Y,,,,,,,,,,40.74574,-73.992309
"Hamilton-Madison House, Inc.",50370,253 South St,New York,New York,NY,10002,7827.0,Asian American Recovery Svcs OP,50049,New York,253 South St,New York,NY,10002,7827.0,Ms. Si Yun Wang,karenwang@hmhonline.org,2127204520,9531.0,Outpatient Services,Outpatient Clinic,2127204520.0,9530.0,Y,,,,,,,,,,40.710321,-73.990347
Harlem East Life Plan,550,2369 2nd Ave,New York,New York,NY,10035,3108.0,Harlem East Life Plan (HELP) OP,51840,New York,2367-2369 2nd Ave,New York,NY,10035,3108.0,Ms. Joanne King MA,jnk@helpmedical.org,2128762300,107.0,Outpatient Services,Outpatient Clinic,2128762300.0,107.0,Y,,,,,,,,,,40.80067,-73.935503
Harlem Hospital Center (HHC),85130,512 Lenox Avenue,New York,New York,NY,10037,,Harlem Hospital Ctr (HHC) OP,50316,New York,506 Lenox Ave,New York,NY,10037,1802.0,Dr. LOUISE I Hodge PhD,Louise.Hodge@nychhc.org,2129393055,3055.0,Outpatient Services,Outpatient Clinic,2129393055.0,3055.0,Y,,,Primary Care,,,,,,,40.814107,-73.939746
Hazelden/New York,2141,283 W Broadway,New York,New York,NY,10013,2204.0,Chelsea OP,6978,New York,283 West Broadway,New York,NY,10013,2204.0,Eliana Leve,eleve@hazeldenbettyford.org,6466017028,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.720769,-74.004722
Inter-Care LTD.,16640,7 W Cross St,Hawthorne,New York,NY,10532,,Inter-Care LTD. MSW OP,52935,New York,51 E 25th St,New York,NY,10010,,Mr. Nicholas Lessa LCSW,nlessa@inter-care.com,2125320303,313.0,Crisis Services,Med Sup Withdrawal-Outpatient,2125320303.0,357.0,,,,,,,,,,,41.106618,-73.79699
"Inwood Community Services, Inc",31470,651 Academy St,New York,New York,NY,10034,5003.0,"Inwood Community Services, Inc. OP",50985,New York,651 Academy St,New York,NY,10034,5003.0,Ms. Awilda Torres,awilda1959@yahoo.com,2129420043,132.0,Outpatient Services,Outpatient Clinic,2129420043.0,114.0,Y,,,,,,,,,,40.866132,-73.924513
Joan And Sanford I. Weill Med College,43750,1300 York Ave,New York,New York,NY,10065,,Midtown Ctr for Trtment & Research OP,6098,New York,56 W 45th St,New York,NY,10036,4206.0,Dr. Chris Sturiano PhD,chs2036@med.cornell.edu,2127645178,11.0,Outpatient Services,Outpatient Clinic,2127645178.0,11.0,Y,,,,,,53 West 23rd Street,New York,10011.0,New York,40.764893,-73.954883
"Lafayette Medical Approach, LLC",45580,233-235 LaFayette St,New York,New York,NY,10012,4051.0,"Lafayette Medical Approach, LLC OTP",52692,New York,233-235 LaFayette St,New York,NY,10012,4051.0,Mr. Christian Ortiz,COrtiz@lafayettemedical.org,2122266263,,Opioid Treatment,Opioid Outpatient Treatment,2124316177.0,,Y,,,,,,,,,,40.7223567,-73.9976333
Lesbian/Gay Community Services Center,31450,208 W 13th St,New York,New York,NY,10011,7702.0,Center CARE Recovery OP,52109,New York,208 W 13th St,New York,NY,10011,7702.0,"Mr. Antonio Ruberto, Jr. LCSW",aruberto@gaycenter.org,6465569296,229.0,Outpatient Services,Outpatient Clinic,6465569299.0,238.0,Y,,,,,Y,,,,,40.738018,-74.001065
"Lower East Side Service Center, Inc.",23720,80 Maiden Ln,New York,New York,NY,10038,4811.0,Clinic III OTP,646,New York,46 E Broadway,New York,NY,10002,6844.0,Mr. Frederick Emmel,femmel@lesc.org,2123433551,,Opioid Treatment,Opioid Outpatient Treatment,2123433551.0,,Y,,,,,,,,,,40.707103,-74.007788
Metropolitan Center for Mental Health,16130,160 W 86th St,New York,New York,NY,10024,4018.0,Families/Individuals in Recovery OP,51729,New York,1090 St. Nicholas Ave,New York,NY,10032,,Ms. Adria Rodriguez MSW,arodriguez@metropolitancenter.com,2125434445,101.0,Outpatient Services,Outpatient Clinic,2125434445.0,,Y,,,,,,,,,,40.787197,-73.974491
Metropolitan Hospital Center (HHC),81210,1900 2nd avenue,New York,New York,NY,10029,7404.0,Metropolitan Hospital Center OTP,669,New York,1900 2nd Ave,New York,NY,10029,7406.0,Ms. Shirley A McBride,shirley.mcbride@nychhc.org,2124238263,8263.0,Opioid Treatment,Opioid Outpatient Treatment,2124238263.0,8263.0,Y,,,,,,,,,,40.785304,-73.945658
"MIH Experience, LTD.",48730,4580 Broadway,New York,New York,NY,10040,,"MIH Experience, LTD. OP",52945,New York,4580 Broadway,New York,NY,10040,2105.0,Dr. Rodney Campos,rcampos@mihexperience.com,2129282020,,Outpatient Services,Outpatient Clinic,2129282020.0,,Y,,,,,,,,,,40.860067,-73.930583
Mount Sinai Morningside,87090,1111 Amsterdam Ave,New York,New York,NY,10025,1716.0,Mount Sinai Morningside MMD,53141,New York,1000 10th Ave,New York,NY,10019,1147.0,Dr. Timothy Brennan,Timothy.Brennan@mountsinai.org,2125236491,,Crisis Services,Medical Managed Detoxification,2125236871.0,,Y,,,,,,,,,,40.805585,-73.961173
Neighborhood Coalition for Shelter Inc,19920,50 Broadway,New York,New York,NY,10004,,Chance for Change OP,52103,New York,921-923 Madison Ave,New York,NY,10021,3508.0,Mr. Joseph Hayes CASAC,dhyden@ncsinc.org,9176770723,,Outpatient Services,Outpatient Clinic,9176770723.0,,Y,,,,,,,,,,40.706234,-74.012435
"New York Center for Living, Inc.",45160,226 E 52nd St,New York,New York,NY,10022,6209.0,"New York Center for Living, Inc. OP",53007,New York,224-226 E 52nd St,New York,NY,10022,6209.0,Mr. Geoffrey Golia LCSW,ggolia@centerforliving.org,2127128819,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.756488,-73.968826
"Parallax Center, Inc.",1898,145 E 32nd St,New York,New York,NY,10016,,"Parallax Center, Inc. MSW-OP",8020,New York,145 E 32nd St,New York,NY,10016,6055.0,Mr. Jacques Nir LCSW,jnir@parallaxcenter.com,2127799207,,Crisis Services,Med Sup Withdrawal-Outpatient,2127799207.0,,,,,,,,,,,,40.745052,-73.979974
